home_team,avg_goals_per_match
Germany,3.4193548387096775
CuraÃ§ao,3.2666666666666666
Comoros,3.625
Cambodia,5.142857142857143
Afghanistan,3.909090909090909
Ivory Coast,2.8295454545454546
Maldives,4.285714285714286
Jordan,2.813953488372093
Rwanda,2.2083333333333335
Sudan,2.851063829787234
France,2.8219178082191783
Turks and Caicos Islands,5.714285714285714
Greece,2.7218045112781954
Kosovo,2.9285714285714284
Sri Lanka,3.619047619047619
DR Congo,2.975609756097561
Montserrat,5.0
Taiwan,4.733333333333333
Dominica,2.9166666666666665
British Virgin Islands,4.875
Algeria,2.712328767123288
SÃ£o TomÃ© and PrÃ­ncipe,4.0
Togo,2.6862745098039214
Equatorial Guinea,2.75
Slovakia,2.8421052631578947
Macau,5.05
Wales,2.7868852459016393
Argentina,2.8613138686131387
Belgium,3.0344827586206895
Angola,2.466666666666667
San Marino,5.407894736842105
Ecuador,3.4025974025974026
Qatar,2.704225352112676
Lesotho,4.090909090909091
Albania,3.01980198019802
Madagascar,2.95
Finland,3.211864406779661
New Caledonia,3.8181818181818183
Ghana,2.460674157303371
Nicaragua,3.55
Myanmar,4.583333333333333
Benin,2.918918918918919
Sierra Leone,3.0
Peru,3.0824175824175826
United States,3.049019607843137
India,3.3870967741935485
Bahamas,5.5
Belarus,2.888888888888889
Malta,3.8392857142857144
Timor-Leste,6.625
Kuwait,2.5428571428571427
American Samoa,9.714285714285714
Somalia,3.375
Chile,3.231707317073171
Puerto Rico,3.5
Tajikistan,3.4
Martinique,3.466666666666667
Yemen DPR,5.0
Cayman Islands,2.875
Croatia,2.6931818181818183
Czechoslovakia,2.8055555555555554
Burundi,2.0833333333333335
Nigeria,2.705263157894737
Andorra,3.566666666666667
Bolivia,3.4923076923076923
Gabon,2.2564102564102564
Italy,2.7837837837837838
Suriname,3.260869565217391
Lithuania,2.5211267605633805
Norway,2.883720930232558
Turkmenistan,3.28
Spain,2.92090395480226
Cuba,3.7450980392156863
Mauritania,3.2666666666666666
Tahiti,4.425
Guadeloupe,2.4545454545454546
Denmark,2.9864864864864864
Central African Republic,2.9
Niger,3.1578947368421053
Bangladesh,3.5483870967741935
Barbados,3.25
Iran,3.080808080808081
Congo,2.575
Liechtenstein,3.8208955223880596
Thailand,3.293103448275862
Laos,6.785714285714286
Bhutan,7.666666666666667
